VehicleName,Timestamp,Latitude,Longitude,RoadCondition
205561,2014-02-22 18:53:53.000000,47.41158,-93.19578,0
205562,2014-02-20 02:25:22.000000,47.52266,-92.56148,1
205562,2014-02-20 05:38:44.000000,47.53036,-92.56274,1
205562,2014-02-20 14:33:13.000000,47.52519,-92.55997,5
205562,2014-02-20 18:54:03.000000,47.54975,-92.55183,7
205562,2014-02-20 19:32:35.000000,47.52298,-92.56009,7
205562,2014-02-21 01:04:36.000000,47.54266,-92.55713,5
205562,2014-02-21 08:03:47.000000,47.65952,-92.57963,0
205563,2014-02-20 17:36:01.000000,47.84993,-92.68983,5
205565,2014-02-21 08:33:38.000000,48.14657,-94.51029,5
205566,2014-02-21 10:44:42.000000,48.77223,-96.94956,2
205567,2014-02-20 11:34:06.000000,48.12488,-96.18149,10
205567,2014-02-20 14:10:32.000000,48.12463,-96.1763,2
205567,2014-02-21 10:05:51.000000,47.89813,-96.22887,7
205567,2014-02-22 04:10:52.000000,48.11966,-96.20866,0
205567,2014-02-22 06:23:32.000000,47.87031,-96.26655,7
205568,2014-02-20 16:01:10.000000,45.97909,-94.38898,2
205568,2014-02-20 17:31:53.000000,46.07518,-94.32522,5
205568,2014-02-20 18:18:12.000000,45.97593,-94.35054,5
205568,2014-02-20 18:25:11.000000,46.00396,-94.34225,0
205569,2014-02-20 11:26:54.000000,45.40658,-94.04714,3
205569,2014-02-21 00:40:02.000000,45.57642,-94.20685,8
205569,2014-02-21 05:29:18.000000,45.49849,-94.19375,8
205569,2014-02-21 06:44:18.000000,45.43446,-94.10412,2
205571,2014-02-20 13:26:16.000000,45.13566,-93.87049,0
205571,2014-02-20 16:38:54.000000,45.08884,-93.86884,7
205571,2014-02-20 19:31:38.000000,45.03552,-93.78956,7
205571,2014-02-20 21:32:58.000000,45.0648,-93.83676,7
205571,2014-02-20 23:35:32.000000,45.06264,-93.80884,7
205571,2014-02-21 01:32:52.000000,45.13503,-93.87057,0
205571,2014-02-21 03:34:42.000000,45.06976,-93.86886,8
205571,2014-02-21 06:02:48.000000,45.05723,-93.80491,8
205571,2014-02-22 18:51:23.000000,45.13506,-93.87055,7
205572,2014-02-20 11:41:30.000000,45.38579,-94.70636,2
205572,2014-02-20 13:49:56.000000,45.31521,-94.30479,5
205572,2014-02-20 13:50:10.000000,45.315,-94.30642,0
205572,2014-02-21 12:32:49.000000,45.38691,-94.70648,10
205575,2014-02-20 20:40:04.000000,46.57219,-96.32544,1
205575,2014-02-21 02:45:04.000000,46.87798,-96.29994,10
205575,2014-02-21 04:52:02.000000,47.13842,-96.25929,10
205577,2014-02-20 10:59:36.000000,45.83239,-95.80141,7
205577,2014-02-20 13:46:57.000000,45.60731,-95.88364,1
205577,2014-02-20 15:44:36.000000,45.58315,-95.89139,8
205577,2014-02-20 17:29:00.000000,45.57274,-95.8948,8
205577,2014-02-20 19:32:26.000000,45.56979,-95.89391,8
205577,2014-02-21 04:04:38.000000,45.56767,-95.89352,10
205577,2014-02-21 06:05:58.000000,45.83236,-95.83193,10
205577,2014-02-21 10:17:49.000000,45.57426,-95.90199,10
205578,2014-02-20 06:11:07.000000,43.91169,-91.52701,8
205578,2014-02-20 14:48:04.000000,43.89652,-91.34486,8
205578,2014-02-20 15:12:27.000000,43.91355,-91.57214,0
205578,2014-02-20 20:27:48.000000,43.89073,-91.34124,0
205578,2014-02-20 22:28:28.000000,43.91164,-91.52106,10
205578,2014-02-21 06:20:57.000000,43.93124,-91.42721,10
205579,2014-02-20 13:53:08.000000,43.82345,-91.76272,2
205580,2014-02-20 14:11:05.000000,44.58828,-92.66057,5
205580,2014-02-20 19:29:37.000000,44.53874,-92.65664,10
205580,2014-02-20 19:30:07.000000,44.53564,-92.65799,0
205580,2014-02-20 21:47:42.000000,44.5029,-92.71546,10
205580,2014-02-20 23:48:34.000000,44.51405,-92.68133,10
205580,2014-02-21 14:27:29.000000,44.57658,-92.59972,10
205580,2014-02-21 17:47:35.000000,44.60092,-92.70763,10
205581,2014-02-20 12:50:42.000000,44.31387,-93.27748,2
205581,2014-02-20 17:01:42.000000,44.36383,-93.2929,7
205581,2014-02-20 19:02:02.000000,44.31697,-93.30709,10
205581,2014-02-20 21:06:48.000000,44.45648,-93.29211,7
205581,2014-02-20 23:07:34.000000,44.42335,-93.29275,10
205582,2014-02-20 04:33:22.000000,43.92334,-93.94807,1
205582,2014-02-20 06:59:15.000000,43.92326,-93.94802,1
205582,2014-02-20 07:15:37.000000,43.92329,-93.94801,1
205582,2014-02-20 10:56:04.000000,43.92293,-93.94819,2
205582,2014-02-20 12:58:39.000000,43.89149,-94.30247,5
205582,2014-02-20 15:06:26.000000,44.16155,-93.93898,5
205582,2014-02-20 17:07:32.000000,43.92253,-94.02018,7
205582,2014-02-21 15:07:03.000000,43.9225,-93.94479,10
205582,2014-02-21 16:08:13.000000,43.89176,-93.55105,7
