lat,lon,count
42.2862,-83.7518,10
42.2862,-83.7517,9
42.2862,-83.7516,7
42.2862,-83.7515,7
42.2862,-83.7514,9
42.2862,-83.7513,7
42.2862,-83.7512,6
42.2862,-83.7511,1
42.2862,-83.751,8
42.2862,-83.7507,4
42.2862,-83.7496,34
42.2862,-83.7495,2849
42.2862,-83.749,2
42.2862,-83.7488,2
42.2862,-83.7485,2
42.2862,-83.7484,18
42.2862,-83.7483,11019
42.2862,-83.7482,8891
42.2862,-83.7481,55
42.2862,-83.7476,1
42.2862,-83.7471,68
42.2862,-83.747,3183
42.2862,-83.7469,13
42.2862,-83.7458,11716
42.2862,-83.7457,361
42.2862,-83.7456,107
42.2862,-83.7455,9419
42.2862,-83.7454,43607
42.2862,-83.7453,38196
42.2862,-83.7452,17700
42.2862,-83.7451,365
42.2862,-83.745,67
42.2862,-83.7449,15
42.2862,-83.7447,4
42.2862,-83.744,15
42.2862,-83.7439,1496
42.2862,-83.7438,16255
42.2862,-83.7437,34906
42.2862,-83.7436,40719
42.2862,-83.7435,12766
42.2862,-83.7434,75
42.2862,-83.7433,5
42.2862,-83.7431,10
42.2862,-83.743,14
42.2862,-83.7429,1
42.2862,-83.7427,1
42.2863,-83.7521,312
42.2863,-83.752,1373
42.2863,-83.7519,996
42.2863,-83.7518,1100
42.2863,-83.7517,1141
42.2863,-83.7516,1018
42.2863,-83.7515,1013
42.2863,-83.7514,1058
42.2863,-83.7513,908
